
Minimum & Actial costs of Hospitals in the COS and C technologies

DMU            C            COS         NC=CIS=WACM     Actual Cost
-----------------------------------------------------------------
j1          500.949        713.000        713.000        713.000
j2         1666.412       1843.000       1843.000       1843.000
j3          333.204        340.000        340.000        340.000
j4         1172.823       1191.000       1191.000       1191.000
j5         1324.454       1369.998       1369.998       1369.998
j6          428.000        428.000        428.000        428.000
j7          345.701        544.686        740.001        740.001
j8         1766.000       1766.000       1766.000       1766.000
j9         1030.172       1305.785       1896.278       1996.999
j10         727.743       1325.236       1476.001       1476.001
j11         594.898        791.285        998.000        998.000
j12        1196.166       1664.764       1842.997       1842.997
j13         449.861        672.851        728.000        728.000
j14        1366.884       1854.001       1854.001       1854.001
j15         976.426       1435.905       1551.004       1551.004
j16         299.071        444.284        560.000        560.000
j17         167.489        220.058        267.000        267.000
j18         658.315       1071.942       1409.159       1440.000
j19        1221.000       1221.000       1221.000       1221.000
j20        1249.389       1436.000       1436.000       1436.000
j21        1123.435       1330.184       1520.000       1520.000
j22         784.929       1288.230       1434.000       1434.000
j23        1310.693       1925.228       1990.000       1990.000
j24        1073.339       1357.577       2078.998       2078.998
j25         692.000        692.000        692.000        692.000
j26         158.000        158.000        158.000        158.000
j27        1000.128       1363.823       1452.002       1452.002
j28         283.071        290.000        290.000        290.000
j29        1154.541       1218.000       1218.000       1218.000
j30        1267.346       1510.000       1510.000       1510.000
j31         379.877        424.000        424.000        424.000
j32         980.212       1292.998       1292.998       1292.998
j33         993.954       1232.457       1628.001       1628.001
j34         450.671        749.565        810.001        810.001
j35         731.040       1188.928       1298.000       1298.000
j36         255.645        286.000        286.000        286.000
j37         227.721        341.252        374.000        374.000
j38         195.000        195.000        195.000        195.000
j39         258.750        402.765        634.000        634.000
j40         258.944        314.000        314.000        314.000
j41         964.013       1264.070       2054.000       2054.000
j42        1803.001       1803.001       1803.001       1803.001
j43         266.433        431.000        431.000        431.000
j44        1091.674       1281.359       1903.000       1903.000
j45         380.249        799.999        799.999        799.999
j46        1085.326       1395.308       1603.996       1603.996
j47        1239.350       1487.218       1499.998       1499.998
j48        1440.738       1675.976       1779.001       1779.001
j49        1345.844       1895.994       1895.994       1895.994
j50         738.303       1102.917       1264.000       1264.000
j51        1061.733       1177.001       1177.001       1177.001
j52        1261.793       1433.262       2169.998       2169.998
j53         829.109        988.000        988.000        988.000
j54        1542.755       1563.999       1563.999       1563.999
j55         704.952        874.998        874.998        874.998
j56         642.159        964.000        964.000        964.000
j57        1577.420       2218.001       2218.001       2218.001
j58         275.928        356.999        356.999        356.999
j59         299.617        465.990        465.990        547.002
j60         100.810        120.376        191.376        253.999
j61          76.383         97.738         97.738        127.998
j62          34.036         49.056         49.056         88.001
j63          98.098        131.297        131.297        177.000
j64        1063.105       1427.637       1710.999       1710.999
j65         979.425       1333.645       1594.001       1594.001
j66         324.925        493.027        722.799        749.001
j67        1721.017       1982.999       1982.999       1982.999
j68         347.947        457.000        457.000        457.000
j69         387.361        503.000        503.000        503.000
j70         872.157       1154.176       1346.001       1346.001
j71         518.946        788.000        788.000        788.000
j72         642.198       1080.624       1751.002       1751.002
j73         520.971        802.091        850.000        850.000
j74         782.184       1330.823       1852.277       1923.000
j75         402.998        529.000        529.000        529.000
